State,pop2021,pop2010,GrowthRate
California,9969510,9823250,0.0149
Illinois,5106780,5199020,-0.0177
Texas,4779880,4107670,0.1636
Arizona,4651440,3825110,0.2160
California,3347270,3103210,0.0786
California,3175130,3015170,0.0531
Florida,2721110,2506970,0.0854
Texas,2647850,2372990,0.1158
New York,2523560,2509830,0.0055
California,2520060,2201580,0.1447
Nevada,2347920,1952590,0.2025
Washington,2301620,1938350,0.1874
New York,2212360,2234700,-0.0100
California,2206750,2040850,0.0813
Texas,2144650,1817480,0.1800
Texas,2048290,1722840,0.1889
Florida,1966120,1752800,0.1217
California,1918880,1786040,0.0744
Michigan,1739120,1815080,-0.0418
California,1680480,1512990,0.1107
New York,1628010,1588770,0.0247
Massachusetts,1618160,1507680,0.0733
Pennsylvania,1585010,1528280,0.0371
California,1578680,1421380,0.1107
Florida,1524560,1323620,0.1518
Florida,1512070,1233500,0.2258
New York,1468140,1494340,-0.0175
Florida,1417280,1148560,0.2340
New York,1390450,1387300,0.0023
New York,1355700,1341670,0.0105
Ohio,1334870,1166200,0.1446
Texas,1328720,1030500,0.2894
Minnesota,1281680,1154190,0.1105
Michigan,1259360,1203110,0.0468
Ohio,1221780,1278090,-0.0441
Pennsylvania,1213570,1223960,-0.0085
Utah,1183930,1032980,0.1461
California,1159540,1052540,0.1017
North Carolina,1152740,906870,0.2711
Virginia,1145670,1086160,0.0548
North Carolina,1143570,923242,0.2386
Texas,1095580,787614,0.3910
Georgia,1091550,925632,0.1792
Arizona,1068730,981620,0.0887
Maryland,1055110,975602,0.0815
California,1013400,932039,0.0873
Missouri,992177,998840,-0.0067
Florida,978872,916412,0.0682
Indiana,976346,904591,0.0793
Florida,975961,865628,0.1275
New York,966092,950601,0.0163
Hawaii,963973,956285,0.0080
Georgia,954076,808007,0.1808
Texas,944139,666760,0.4160
Wisconsin,943240,948285,-0.0053
Connecticut,942054,919355,0.0247
Tennessee,938768,928447,0.0111
New Jersey,930974,906284,0.0272
Washington,927428,795390,0.1660
New York,916672,919152,-0.0027
Illinois,914269,917983,-0.0040
California,913090,840996,0.0857
Maryland,908743,866419,0.0488
Connecticut,890000,895236,-0.0058
California,883255,805505,0.0965
Texas,881525,779149,0.1314
Michigan,876326,841352,0.0416
Texas,858902,590253,0.4551
Connecticut,850329,863357,-0.0151
Texas,844064,803576,0.0504
California,841734,825097,0.0202
Washington,840131,715500,0.1742
Pennsylvania,838897,800874,0.0475
Massachusetts,833758,800391,0.0417
Maryland,826392,806656,0.0245
New Jersey,822842,810758,0.0149
Ohio,821529,802278,0.0240
Oregon,820421,737276,0.1128
Oklahoma,811116,720762,0.1254
Massachusetts,805427,725772,0.1098
Florida,802791,620449,0.2939
New Jersey,799785,784037,0.0201
Massachusetts,790736,745461,0.0607
California,781462,687127,0.1373
Georgia,768283,689495,0.1143
Georgia,768079,692443,0.1092
Kentucky,764069,742054,0.0297
California,762357,719699,0.0593
Florida,761137,603102,0.2620
Colorado,749103,603359,0.2416
New York,739582,744580,-0.0067
Colorado,737031,627031,0.1754
District of Columbia,714153,605226,0.1800
Massachusetts,713865,673019,0.0607
Missouri,707465,674845,0.0483
Tennessee,701400,627746,0.1173
Illinois,690431,704170,-0.0195
Illinois,689931,678824,0.0164
New Mexico,681295,663923,0.0262
New Jersey,673311,635652,0.0592
Colorado,666176,574747,0.1591
Utah,665665,519998,0.2801
Michigan,664165,602975,0.1015
Oklahoma,659290,604973,0.0898
