zip,city,county,pop
77449,Katy,Harris,128294
77494,Katy,Fort Bend,118291
11368,Corona,Queens,112088
79936,El Paso,El Paso,111620
90011,Los Angeles,Los Angeles,111165
60629,Chicago,Cook,110029
75034,Frisco,Collin,108525
11385,Ridgewood,Queens,107796
77084,Houston,Harris,107673
91331,Pacoima,Los Angeles,105458
90650,Norwalk,Los Angeles,105304
75070,Mc Kinney,Collin,104415
11211,Brooklyn,Kings,103123
8701,Lakewood,Ocean,102466
90201,Bell,Los Angeles,101965
11208,Brooklyn,Kings,101313
10467,Bronx,Bronx,101255
11236,Brooklyn,Kings,100844
11226,Brooklyn,Kings,99558
90044,Los Angeles,Los Angeles,99443
92335,Fontana,San Bernardino,99306
92336,Fontana,San Bernardino,98346
37013,Antioch,Davidson,97939
94565,Pittsburg,Contra Costa,97671
90250,Hawthorne,Los Angeles,97072
90805,Long Beach,Los Angeles,95995
92503,Riverside,Riverside,95551
75052,Grand Prairie,Dallas,95495
60618,Chicago,Cook,94907
90280,South Gate,Los Angeles,94642
91342,Sylmar,Los Angeles,94595
11373,Elmhurst,Queens,94437
77479,Sugar Land,Fort Bend,93848
11234,Brooklyn,Kings,93534
926,San Juan,San Juan,93330
11220,Brooklyn,Kings,93170
10456,Bronx,Bronx,92717
11214,Brooklyn,Kings,92644
10025,New York,New York,92251
91710,Chino,San Bernardino,91773
30043,Lawrenceville,Gwinnett,91378
78660,Pflugerville,Travis,91300
92683,Westminster,Orange,91105
11207,Brooklyn,Kings,91083
78521,Brownsville,Cameron,90687
77433,Cypress,Harris,90657
77584,Pearland,Brazoria,90372
92804,Anaheim,Orange,89915
60632,Chicago,Cook,89857
10314,Staten Island,Richmond,89792
11219,Brooklyn,Kings,89371
75217,Dallas,Dallas,89163
30044,Lawrenceville,Gwinnett,89139
92154,San Diego,San Diego,88979
77429,Cypress,Harris,88628
11206,Brooklyn,Kings,88422
92704,Santa Ana,Orange,88321
60639,Chicago,Cook,88204
77573,League City,Galveston,88131
60647,Chicago,Cook,87633
29483,Summerville,Dorchester,87341
95076,Watsonville,Santa Cruz,86905
93307,Bakersfield,Kern,86832
11230,Brooklyn,Kings,86139
92376,Rialto,San Bernardino,86085
10458,Bronx,Bronx,85620
91744,La Puente,Los Angeles,85421
92592,Temecula,Riverside,84930
94112,San Francisco,San Francisco,84707
93033,Oxnard,Ventura,84701
93722,Fresno,Fresno,84621
93727,Fresno,Fresno,84449
79938,El Paso,El Paso,84237
91911,Chula Vista,San Diego,84026
11377,Woodside,Queens,83825
60617,Chicago,Cook,83553
11221,Brooklyn,Kings,83322
11229,Brooklyn,Kings,83119
78666,San Marcos,Hays,82923
92126,San Diego,San Diego,82658
60804,Cicero,Cook,82383
22193,Woodbridge,Prince William,82309
92345,Hesperia,San Bernardino,82110
78613,Cedar Park,Williamson,81943
91335,Reseda,Los Angeles,81824
66062,Olathe,Johnson,81780
10453,Bronx,Bronx,81716
11223,Brooklyn,Kings,81388
92509,Riverside,Riverside,81383
77379,Spring,Harris,81368
60623,Chicago,Cook,81283
11355,Flushing,Queens,80987
91709,Chino Hills,San Bernardino,80701
78572,Mission,Hidalgo,80601
725,Caguas,Caguas,80537
60608,Chicago,Cook,80059
27610,Raleigh,Wake,79924
99301,Pasco,Franklin,79819
94544,Hayward,Alameda,79747
95035,Milpitas,Santa Clara,79655
60625,Chicago,Cook,79444
95823,Sacramento,Sacramento,79440
11233,Brooklyn,Kings,79439
30024,Suwanee,Gwinnett,79000
10468,Bronx,Bronx,78881
11235,Brooklyn,Kings,78775
77083,Houston,Harris,78298
87121,Albuquerque,Bernalillo,78276
79912,El Paso,El Paso,78267
95630,Folsom,Sacramento,78159
78577,Pharr,Hidalgo,78103
37042,Clarksville,Montgomery,77945
47906,West Lafayette,Tippecanoe,77702
75211,Dallas,Dallas,77570
93550,Palmdale,Los Angeles,77506
76244,Keller,Tarrant,77496
78130,New Braunfels,Comal,77400
78542,Edinburg,Hidalgo,77336
28269,Charlotte,Mecklenburg,77248
90706,Bellflower,Los Angeles,77195
91706,Baldwin Park,Los Angeles,76930
10029,New York,New York,76713
93257,Porterville,Tulare,76519
78245,San Antonio,Bexar,76518
33024,Hollywood,Broward,76508
23464,Virginia Beach,Virginia Beach City,76421
11204,Brooklyn,Kings,76395
92553,Moreno Valley,Riverside,76102
11203,Brooklyn,Kings,76085
33311,Fort Lauderdale,Broward,76073
37211,Nashville,Davidson,75955
94533,Fairfield,Solano,75909
10462,Bronx,Bronx,75714
11212,Brooklyn,Kings,75605
75035,Frisco,Collin,75485
10452,Bronx,Bronx,75452
63376,Saint Peters,Saint Charles,75395
60634,Chicago,Cook,75082
10466,Bronx,Bronx,75039
90255,Huntington Park,Los Angeles,75019
91910,Chula Vista,San Diego,74855
94536,Fremont,Alameda,74837
10457,Bronx,Bronx,74822
60505,Aurora,Kane,74726
94587,Union City,Alameda,74722
96706,Ewa Beach,Honolulu,74592
30349,Atlanta,Fulton,74590
10002,New York,New York,74479
92805,Anaheim,Orange,74478
77036,Houston,Harris,74472
85364,Yuma,Yuma,74333
93535,Lancaster,Los Angeles,74264
80013,Aurora,Arapahoe,74105
97006,Beaverton,Washington,74070
19120,Philadelphia,Philadelphia,74060
93274,Tulare,Tulare,74000
89108,Las Vegas,Clark,73991
75228,Dallas,Dallas,73976
33023,Hollywood,Broward,73973
33012,Hialeah,Miami-Dade,73828
90003,Los Angeles,Los Angeles,73730
77450,Katy,Harris,73692
92105,San Diego,San Diego,73623
96797,Waipahu,Honolulu,73579
33025,Hollywood,Broward,73428
92882,Corona,Riverside,73250
76063,Mansfield,Tarrant,73216
85032,Phoenix,Maricopa,73203
11375,Forest Hills,Queens,73034
949,Toa Baja,Toa Baja,72943
30040,Cumming,Forsyth,72909
77459,Missouri City,Fort Bend,72788
33411,West Palm Beach,Palm Beach,72546
11218,Brooklyn,Kings,72413
91730,Rancho Cucamonga,San Bernardino,72407
10469,Bronx,Bronx,72384
94110,San Francisco,San Francisco,72380
91766,Pomona,Los Angeles,72348
97007,Beaverton,Washington,72299
93306,Bakersfield,Kern,72280
28277,Charlotte,Mecklenburg,72132
78641,Leander,Williamson,72078
91402,Panorama City,Los Angeles,72059
60614,Chicago,Cook,71954
93065,Simi Valley,Ventura,71832
89110,Las Vegas,Clark,71489
84095,South Jordan,Salt Lake,71427
85142,Queen Creek,Maricopa,71423
84118,Salt Lake City,Salt Lake,71309
75002,Allen,Collin,71253
45011,Hamilton,Butler,71189
953,Toa Alta,Toa Alta,71174
10463,Bronx,Bronx,71132
22191,Woodbridge,Prince William,71019
33647,Tampa,Hillsborough,71004
78046,Laredo,Webb,70989
60657,Chicago,Cook,70958
20906,Silver Spring,Montgomery,70749
34953,Port Saint Lucie,Saint Lucie,70705
60085,Waukegan,Lake,70700
77095,Houston,Harris,70692
80219,Denver,Denver,70638
90262,Lynwood,Los Angeles,70536
76028,Burleson,Johnson,70507
73099,Yukon,Canadian,70417
85225,Chandler,Maricopa,70356
19124,Philadelphia,Philadelphia,70304
30127,Powder Springs,Cobb,70298
98052,Redmond,King,70245
93536,Lancaster,Los Angeles,70237
92021,El Cajon,San Diego,70148
7055,Passaic,Passaic,70090
34787,Winter Garden,Orange,69976
6902,Stamford,Fairfield,69946
60641,Chicago,Cook,69880
11215,Brooklyn,Kings,69873
20011,Washington,District Of Columbia,69710
92880,Corona,Riverside,69656
97701,Bend,Deschutes,69499
32828,Orlando,Orange,69497
80015,Aurora,Arapahoe,69487
92563,Murrieta,Riverside,69469
97229,Portland,Washington,69450
60640,Chicago,Cook,69363
80134,Parker,Douglas,69163
30041,Cumming,Forsyth,69117
92703,Santa Ana,Orange,69112
90631,La Habra,Orange,69064
95687,Vacaville,Solano,69060
30022,Alpharetta,Fulton,68945
90026,Los Angeles,Los Angeles,68906
92114,San Diego,San Diego,68851
87114,Albuquerque,Bernalillo,68789
95123,San Jose,Santa Clara,68766
28027,Concord,Cabarrus,68716
30096,Duluth,Gwinnett,68691
33186,Miami,Miami-Dade,68581
85301,Glendale,Maricopa,68579
30052,Loganville,Gwinnett,68563
92407,San Bernardino,San Bernardino,68545
11691,Far Rockaway,Queens,68543
27587,Wake Forest,Wake,68491
30281,Stockbridge,Henry,68456
11706,Bay Shore,Suffolk,68401
21234,Parkville,Baltimore,68381
94558,Napa,Napa,68315
75243,Dallas,Dallas,68308
7087,Union City,Hudson,68256
75067,Lewisville,Denton,68196
94509,Antioch,Contra Costa,68166
